boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.783320 Main     thread.cpp:126] Register main thread: tid=1
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.785275 Main     server_base.cpp:160] ServerBase: Start 4 IO workers
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.785275 ZK/EL    thread.cpp:62] Start thread: ZK/EL (tid=7)
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.899950 Main     thread.cpp:126] Register main thread: tid=1
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.785544 Main     io_uring.cpp:70] io_uring[0]: register 4096 fd slots
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.785682 Main     io_uring.cpp:123] io_uring[0]: register fd 10, 1 registered fds in total
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.902136 Main     server_base.cpp:160] ServerBase: Start 4 IO workers
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.902132 ZK/EL    thread.cpp:62] Start thread: ZK/EL (tid=7)
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.902398 Main     io_uring.cpp:70] io_uring[0]: register 4096 fd slots
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.902549 Main     io_uring.cpp:123] io_uring[0]: register fd 10, 1 registered fds in total
boki-experiment_slog-engine.1.bv1932vwrz50@christina    | I0801 16:34:25.902560 Main     buffer_pool.h:26] BufferPool[IOUring[0]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.785692 Main     buffer_pool.h:26] BufferPool[IOUring[0]-0]: Allocate new buffer, current buffer count is 1
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.785721 Main     io_uring.cpp:123] io_uring[0]: register fd 9, 2 registered fds in total
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.785727 Main     buffer_pool.h:26] BufferPool[IOUring[0]-0]: Allocate new buffer, current buffer count is 2
